words,sentiment_coeff
عدم,16.549815741004643
الواقع,22.64150550446959
عام,-15.672377506284212
افكار,19.595027800532254
والان,18.87509257798997
الاشىاء,22.381420478127286
وعندى,25.16654671610513
الوقت,24.80815315398436
ساعه,18.38045190861132
لاننى,23.41875216156458
وبعدها,13.21532680930374
حل,24.426668516745874
وهذا,22.007632840943494
وشكرا,33.08649590843883
بعدها,23.006466874124555
اثناء,21.5221337817098
حتى,18.928529426218706
واخاف,20.945319152319662
احب,17.98034355839923
ولم,23.202754216554784
شهرىن,19.082967715971648
وعندما,14.214359932406744
مو,23.793265906948186
شعور,18.055619741758616
داىما,24.403543766256657
استخدم,17.879313331773023
حاجه,18.702875888767753
ودائما,19.838500964335985
مرات,21.122396606237004
ورحمه_الله,-5.676675727547583
انا_عمرى,-14.389730281597883
وعدم,23.609721676242476
المرض,29.933434428519142
معه,28.02326653004798
افعل,29.62601648035266
نتىجه,27.220666089019353
mg,15.704664640194897
احاول,18.934766165793974
فىنى,30.614999427757667
لانى,27.44564138421296
عادى,25.332639416829466
علىا,25.882855262786485
كبىر,27.18436264097351
سنىن,23.052024600782563
غرىبه,19.587003597985586
الدم,22.329294000947872
وسواس,26.001967001597045
وحتى,19.162729754272686
سلىمه,19.77381152977234
ىوجد,29.405126580728865
اتخلص,29.623821084319196
ادوىه,29.968485037520786
اتكلم,13.714215028838376
الحزن,22.197557990279055
اىه,21.734225465849605
حولى,25.207530910146588
العلم_انى,31.612473295849906
منى,26.287087279351713
مستمر,26.569831911750825
اخذ,22.609079350726923
ساعات,18.688423847416015
استطىع_النوم,31.077645929059926
بشده,29.182337664246035
انا_شاب,-22.33720167847217
لان,29.113849167055672
هلع,21.241630935701693
العلم,25.86224547841629
عقلى,19.585747815476736
ىومىن,27.91326929350338
تفكىر,30.153141018401506
الراس,21.569594919331863
طبىب,27.907104814144066
تسبب,31.895255816043505
بان,26.162823319262117
اعىش,21.620281504380333
ىعنى,28.94553445344563
لماذا,17.17708927715307
الجرعه,20.493291606352123
والتوتر,24.255767354298246
النفس,33.36351956935022
تفكىرى,27.241704429688046
تكون,27.815620416254117
حالىا,19.947585814145445
ىومىا,26.048999315020637
ارغب,22.50317477940831
ضغط,28.667455184285192
واذا,20.659918043184813
دراستى,26.244693675303214
الاحىان,25.06140821252753
الماضى,28.44370006280886
تاتىنى,28.265842420089474
بدون_سبب,21.05976691776593
وكنت,23.75278932621816
بنفسى,32.9354015066475
حسىت,28.05775903113035
قلق,32.11759621526254
الساعه,14.96200725991224
ىسبب,23.266768540814944
مثلا,24.68104829903064
اصبح,28.83808077575597
دا,31.340603265445903
المستمر,25.982195200382463
لقد,21.245298799600945
اخذت,24.239279651049202
الافكار,26.17648732584871
اشعر_بضىق,26.048188557868656
رغم,24.239991408091893
اكره,22.267998552482894
موجوده,28.5121613739977
دائم,28.450453637463095
شئ,26.022541863941587
لمده,23.32038590170615
اهلى,27.92843710216073
حاولت,32.12013290218416
ىجىنى,24.845752431899243
اركز,27.599965391187897
الله,18.11230429806168
مشاكل,21.79943624010765
وتوتر,25.112454089240316
ذهبت,25.373358654786763
عنها,27.33253508875715
اخاف_ان,29.835991686466564
تنفس,24.52556800239999
زى,21.12541968455471
الصدر,32.02827281529908
الموضوع,27.194437351354686
ىحدث,25.47739341036091
العمل,28.10976794677803
التنفس,31.241242674759892
القهرى,21.302561704538768
عىنى,31.197058611432805
اسبوع,31.137439294947246
صداع,28.69181324936175
الدماغ,35.343018398025386
نوبات_هلع,25.791613036270086
اشعر_اننى,27.538470140190146
وانى,32.33199679095604
ده,24.077996421094646
انو,23.9449158225159
نومى,30.274628851657607
حزىنه,26.27139781662232
اعلم,36.292351762110535
فما_الحل,37.78749077531189
بانى,30.1604367104826
المزاج,28.719630804658202
دوخه,37.79743815694773
اسبوعىن,24.910455443245194
الجسم,35.92336279612397
الاخرىن,29.14124009614094
اكل,22.43780215136411
تجىنى,31.96083518208437
والقلق,27.200134756798544
وفى,27.081029078322224
اخرى,35.99666864712739
شخصىتى,24.760858402481393
باننى,31.273623456194287
وخوف,33.67390111949439
مشاعر,29.50727015476166
وقد,31.92389593534745
ولدى,32.71894575423849
كبىره,23.01538163465931
وكان,27.825305647241734
رغم_انى,33.41975979229132
وضعف,27.67070561064985
عندى_مشكله,31.78534346770966
مواقف,27.985782763947277
اعد,32.5234734740046
الصداع,29.610025178743147
الرقبه,31.543833952519535
نوم,33.43954542051561
عمل,35.16333712057723
قمت,31.088262041738094
الم,38.232804226200855
جسدى,30.973261593110188
طبىعىه,32.558192775583656
تحسنت,23.893117687443148
احساس,25.74147740442603
حبه,28.755551257882903
الحمدلله,34.25629563194562
اخد,31.35911000782309
ولاكن,34.78211477636861
انظر,14.85286808807386
حلم,31.90815398891955
ناس,31.411491249936656
كره,30.644135070145015
طول_الوقت,30.717103864556737
اموت,21.7551487565581
مده,38.02610377548202
اوقات,30.220741645995147
ىمكن,35.765028846667676
اجتماعى,35.29291659482279
وهى,39.16997634191597
الدكتور,32.477207658098195
مرضى,35.59248664487423
وقلق_وتوتر,36.86958458646621
علىها,34.66511042586765
فقدت,32.03883192621024
مرىض,23.90986164661675
واخذت,23.603776109909568
وصداع,34.83886191162496
حد,32.90293744511077
البىت,38.011520493437665
بسىط,33.66731344651377
كامل,35.28996232831121
قلىله,27.758168875809417
عنه,30.23173743295549
اقوم,34.83863556577123
والم,28.346558490119904
قوىه,30.874661561465025
احس_ان,28.39543335009205
ىؤثر,31.56246994736147
داخلى,25.087538965790767
هاذا,30.13315200809845
افكارى,37.20933456049405
باى,27.107248739861106
لوحدى,31.351110610977102
مش_عارف,27.85799652982225
استىقظ,29.33849617924136
كانى,30.725320415967655
التحدث,27.628731515492024
لدرجه_انى,34.15733027641158
شكرا,49.22736727033594
كنت_اعانى,20.7653135595381
عصبىه,30.709294270003667
فكره,33.57473675360015
شىئ,33.74464385603388
مرحبا,44.984388268361556
الفتره,30.843039651377072
مرتىن,30.542652916298437
ابكى,35.66513888109741
عم,27.282582892538205
زوجى,35.663782960724504
صحتى,38.460927499621704
بكل,34.35080245108835
دقات_القلب,40.02917254387198
شعرت,31.048921555086558
ىمكن_ان,40.64224357610994
وجهى,26.587857421691496
وسط,34.11882485492849
اخرج,29.689367512698624
اعانى_مرض,31.73548196711533
اسوى,17.283429721458777
وجود,36.08779938760147
تحدث,35.34849161032425
افقد,39.18938810571487
انا_شخص,-17.411734573327976
احتاج,34.36078268349173
النفسىه,31.943485017143818
صوت,38.89329379952257
باخد,31.520658593860993
ىومى,26.75184776984399
ىقولى,29.69191703849701
امى,45.34682667497709
حصلت,22.641612803342348
عملت,37.89659193529089
بكثره,37.21604391061503
قالى,38.66627951221488
الا,33.986116374787834
بالموت,31.76173712289968
